,Coordinates,Longitude,Latitude
0,"[115.9699, -31.9757]",115.9699,-31.9757
1,"[115.9655, -32.03246]",115.9655,-32.03246
2,"[115.85016, -32.08906]",115.85016,-32.08906
3,"[115.84894, -32.223]",115.84894,-32.223
4,"[115.82733, -32.39413]",115.82733,-32.39413
5,"[115.81222, -32.51884]",115.81222,-32.51884
6,"[115.7493, -32.73373]",115.7493,-32.73373
7,"[115.71252, -32.8891]",115.71252,-32.8891
8,"[115.72818, -33.09751]",115.72818,-33.09751
9,"[115.74707, -33.2493]",115.74707,-33.2493
10,"[115.81293, -33.29444]",115.81293,-33.29444
11,"[115.88514, -33.28595]",115.88514,-33.28595
12,"[116.00572, -33.32007]",116.00572,-33.32007
13,"[116.08761, -33.33782]",116.08761,-33.33782
14,"[116.1514, -33.35755]",116.1514,-33.35755
